,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
395,406-ER18,406-ER18-SBD,133.63,119.61,91961.0,406.0,120.61,56.79,40.1,33.1,26.8,IER1801HU,2.5,7.5,6/28/18,1.32,62.82,0.69,1.48,15.48,1.26,0.25,0.21,0.17
396,407-ER18,407-ER18-SBD,143.58,134.54,91962.0,407.0,135.43,79.95,41.3,34.5,24.3,IER1801HV,2.5,7.5,6/28/18,1.49,54.59,0.6,1.58,9.98,1.42,0.22,0.19,0.13
397,408-ER18,408-ER18-SBD,112.33,98.14,91963.0,408.0,99.49,41.94,36.0,37.1,26.9,IER1801HW,2.5,7.5,6/28/18,1.08,56.2,0.62,1.24,15.66,1.01,0.2,0.2,0.15
398,409-ER18,409-ER18-SBD,124.58,105.46,91964.0,409.0,106.85,55.05,32.2,38.6,29.3,IER1801HY,2.5,7.5,6/28/18,1.16,50.41,0.56,1.38,21.11,1.1,0.16,0.19,0.15
399,410-ER18,410-ER18-SBD,115.01,92.47,91965.0,410.0,93.56,41.51,28.0,46.3,25.7,IER1801HZ,2.5,7.5,6/28/18,1.02,50.96,0.56,1.27,24.88,0.95,0.14,0.23,0.13
400,411-ER18,411-ER18-SBD,107.54,83.96,91966.0,411.0,85.21,31.98,25.1,51.7,23.2,IER1801I0,2.5,7.5,6/28/18,0.93,51.98,0.57,1.19,26.03,0.83,0.12,0.25,0.11
401,412-ER18,412-ER18-SBD,135.19,125.92,91967.0,412.0,126.5,74.75,45.4,31.8,22.9,IER1801I1,2.5,7.5,6/28/18,1.39,51.17,0.56,1.49,10.23,1.36,0.24,0.17,0.12
402,413-ER18,413-ER18-SBD,138.51,129.71,91968.0,413.0,130.21,78.83,44.2,35.5,20.3,IER1801I2,2.5,7.5,6/28/18,1.43,50.88,0.56,1.53,9.71,1.4,0.24,0.19,0.11
403,414-ER18,414-ER18-SBD,91.46,74.85,91969.0,414.0,75.69,20.67,21.5,48.9,29.6,IER1801I4,2.5,7.5,6/28/18,0.83,54.18,0.6,1.01,18.34,0.76,0.11,0.26,0.16
404,415-ER18,415-ER18-SBD,96.18,81.84,91970.0,415.0,83.29,36.65,25.5,46.2,28.2,IER1801I5,2.5,7.5,6/28/18,0.9,45.19,0.5,1.06,15.83,0.84,0.11,0.2,0.12
405,416-ER18,416-ER18-SBD,127.83,110.58,91771.0,416.0,110.9,47.69,26.2,45.3,28.5,IER1801I6,2.5,7.5,6/28/18,1.22,62.89,0.69,1.41,19.04,1.15,0.16,0.28,0.18
406,417-ER18,417-ER18-SBD,100.33,88.16,91971.0,417.0,89.22,38.72,16.7,53.8,29.5,IER1801I7,2.5,7.5,6/28/18,0.97,49.44,0.55,1.11,13.43,0.92,0.08,0.27,0.15
407,418-ER18,418-ER18-SBD,96.77,81.08,91972.0,418.0,82.1,33.02,26.7,45.0,28.3,IER1801I8,2.5,7.5,6/28/18,0.9,48.06,0.53,1.07,17.32,0.83,0.12,0.21,0.13
408,419-ER18,419-ER18-SBD,104.02,87.1,91772.0,419.0,88.4,35.13,29.1,46.4,24.5,IER1801I9,2.5,7.5,6/28/18,0.96,51.97,0.57,1.15,18.68,0.89,0.15,0.23,0.12
409,420-ER18,420-ER18-SBD,97.22,84.15,91973.0,420.0,84.99,34.32,30.6,47.6,21.8,IER1801IA,2.5,7.5,6/28/18,0.93,49.83,0.55,1.07,14.43,0.85,0.14,0.22,0.1
410,421-ER18,421-ER18-SBD,104.26,83.08,91974.0,421.0,83.97,30.25,30.7,50.0,19.2,IER1801IB,2.5,7.5,6/28/18,0.92,52.83,0.58,1.15,23.38,0.84,0.16,0.25,0.1
411,422-ER18,422-ER18-SBD,115.32,96.53,91773.0,422.0,97.1,40.35,26.0,46.7,27.3,IER1801IC,2.5,7.5,6/28/18,1.07,56.18,0.62,1.27,20.74,0.98,0.14,0.25,0.15
412,423-ER18,423-ER18-SBD,122.04,103.49,91975.0,423.0,105.45,30.89,16.8,53.7,29.4,IER1801ID,2.5,7.5,6/28/18,1.14,72.6,0.8,1.35,20.48,1.08,0.12,0.4,0.22
413,424-ER18,424-ER18-SBD,81.8,57.64,91774.0,424.0,58.09,20.45,,,,IER1801IE,2.5,7.5,6/28/18,0.64,37.19,0.41,0.9,26.67,0.55,,,
414,425-ER18,425-ER18-SBD,90.63,79.25,91775.0,425.0,79.64,36.87,,,,IER1801IF,2.5,7.5,6/28/18,0.87,42.38,0.47,1.0,12.56,0.83,,,
415,426-ER18,426-ER18-SBD,156.85,,,,,,,,,IER1801IG,2.5,7.5,6/28/18,,,,1.73,,,,,
416,427-ER18,427-ER18-SBD,127.76,112.02,91776.0,427.0,113.17,50.65,37.2,37.2,25.6,IER1801II,2.5,7.5,6/28/18,1.24,61.37,0.68,1.41,17.37,1.18,0.23,0.23,0.16
417,428-ER18,428-ER18-SBD,93.52,79.44,91777.0,428.0,80.41,30.94,27.6,45.3,27.1,IER1801IJ,2.5,7.5,6/28/18,0.88,48.5,0.54,1.03,15.54,0.8,0.13,0.21,0.12
418,429-ER18,429-ER18-SBD,102.55,88.59,91778.0,429.0,90.0,38.57,28.4,47.7,23.9,IER1801IK,2.5,7.5,6/28/18,0.98,50.02,0.55,1.13,15.41,0.92,0.14,0.24,0.12
419,430-ER18,430-ER18-SBD,118.64,105.18,91779.0,430.0,105.57,49.33,28.8,38.9,32.3,IER1801IL,2.5,7.5,6/28/18,1.16,55.85,0.62,1.31,14.86,1.1,0.16,0.22,0.18
420,432-ER18,431-ER18-SBD,74.92,56.29,91976.0,431.0,57.36,6.12,15.8,63.5,20.7,,,,,0.62,50.17,0.55,0.83,20.57,0.54,0.07,0.3,0.1
421,433-ER18,433-ER18-SBD,104.57,84.4,91977.0,433.0,85.66,36.53,26.9,48.7,24.4,IER1801IN,2.5,7.5,6/28/18,0.93,47.87,0.53,1.15,22.27,0.87,0.13,0.23,0.11
422,434-ER18,434-ER18-SBD,92.42,79.42,91978.0,434.0,80.57,36.6,,,,IER1801IO,2.5,7.5,6/28/18,0.88,42.82,0.47,1.02,14.35,0.82,,,
423,435-ER18,435-ER18-SBD,130.93,117.59,91979.0,435.0,118.26,46.83,26.1,45.9,28.0,IER1801IP,2.5,7.5,6/28/18,1.3,70.76,0.78,1.45,14.73,1.25,0.19,0.34,0.2
424,436-ER18,436-ER18-SBD,103.85,95.5,91780.0,436.0,95.6,49.03,27.2,43.5,29.3,IER1801IQ,2.5,7.5,6/28/18,1.05,46.47,0.51,1.15,9.22,1.02,0.13,0.21,0.14
425,437-ER18,437-ER18-SBD,94.07,,,,,,,,,IER1801IR,2.5,7.5,6/28/18,,,,1.04,,,,,
426,438-ER18,438-ER18-SBD,82.88,49.59,91980.0,438.0,50.9,23.76,,,,IER1801IT,2.5,7.5,6/28/18,0.55,25.83,0.29,0.91,36.75,0.47,,,
427,003-ER18,003-ER18-SBD50,,113.25,,3.0,113.25,4.28,,,,IER18012O,50.0,55.0,7/11/18,1.25,108.98,1.2,,,,,,
428,007-ER18,007-ER18-SBD50,,108.92,,7.0,108.92,8.88,,,,IER18012T,50.0,55.0,7/11/18,1.2,100.05,1.1,,,,,,
429,008-ER18,008-ER18-SBD50a,,110.07,,8.0,110.07,11.28,,,,IER18012V,50.0,55.0,6/19/19,1.22,98.8,1.09,,,,,,
430,008-ER18,008-ER18-SBD50b,,101.25,,8.0,101.25,2.08,,,,IER18012W,50.0,55.0,6/19/19,1.12,99.18,1.09,,,,,,
